# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 14 04:22:42 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
loc_rowid,pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_lum
45,42 Dra b,479.10000000,1.190000,,,,0.380000,,K1.5 III,4200.00,22.03,0.98,
46,47 UMa b,1083.20000000,2.110000,,,,0.049000,,G1 V,,,,
47,47 UMa b,1076.60000000,2.059000,,,,0.016000,,,5829.16,1.14,1.01,
48,47 UMa b,1100.80000000,2.110000,,,,0.097000,,,,,,
49,47 UMa b,1078.00000000,2.100000,,,,0.032000,,,5872.00,1.21,1.06,0.198
50,47 UMa b,1076.60000000,2.100000,,,,0.012000,,G0 V,5882.00,,1.06,
51,47 UMa c,2287.00000000,3.404000,,,,0.179000,,,5829.16,1.14,1.01,
52,47 UMa c,2391.00000000,3.600000,,,,0.098000,,,5872.00,1.21,1.06,0.198
53,47 UMa c,7586.00000000,7.730000,,,,0.005000,,G1 V,,,,
54,47 UMa d,19000.00000000,13.800000,,,,0.380000,,,5829.16,1.14,1.01,
55,47 UMa d,14002.00000000,11.600000,,,,0.160000,,,5872.00,1.21,1.06,0.198
56,51 Eri b,11688.00000000,12.000000,,,,0.450000,,,7295.00,1.49,1.65,0.752
57,51 Eri b,,13.200000,,635.66000,,,700,F0 IV,,,1.75,0.850
58,51 Eri b,14965.00000000,14.000000,,,,0.210000,,,7295.00,1.49,1.65,0.752
59,51 Peg b,4.23100000,0.052000,,146.20180,,0.000000,,,,,1.04,
60,51 Peg b,4.23078500,0.052700,,,,0.013000,,,5758.00,1.18,1.03,0.136
61,51 Peg b,4.23079690,0.052350,,,,0.004200,,,5760.76,1.19,1.07,
62,51 Peg b,4.23077000,0.052000,,,,0.000000,,,,,,
63,51 Peg b,4.22930000,,,,,0.000000,,,5773.00,1.29,,
64,55 Cnc b,14.65152000,0.115227,,263.97850,,0.003400,,,,,0.95,
65,55 Cnc b,14.65171000,0.116200,,,,0.004800,,,5317.89,0.96,0.97,
66,55 Cnc b,14.64700000,0.115000,,,,0.030000,,,,,,
67,55 Cnc b,14.64800000,0.110000,,,,0.051000,,G8 V,5200.00,,0.85,
68,55 Cnc b,14.65100000,0.113400,,,,0.004000,,,5250.00,0.96,0.90,-0.197
69,55 Cnc b,14.65300000,0.115000,,,,0.020000,,G8 V,,,0.95,
70,55 Cnc b,14.67000000,0.115000,,,,0.019700,,,,,0.95,
71,55 Cnc b,14.65162000,0.115000,,,,0.014000,,,5250.00,0.96,0.90,-0.197
72,55 Cnc b,14.60000000,0.113000,,254.25000,,0.000000,700,K0 IV-V,,,,
73,55 Cnc b,14.65126000,0.113800,,,,0.015900,,,5250.00,0.96,0.90,-0.197
74,55 Cnc b,14.46531400,0.113390,,266.96600,,0.002300,,,5250.00,0.96,0.90,-0.197
75,55 Cnc b,14.65160000,0.113400,,,,0.000000,,,5172.00,0.94,0.91,
76,55 Cnc c,44.37300000,0.237350,,56.69850,,0.072000,,,5250.00,0.96,0.90,-0.197
77,55 Cnc c,44.39890000,0.237300,,,,0.030000,,,5172.00,0.94,0.91,
78,55 Cnc c,44.38270000,0.243200,,,,0.048000,,,5317.89,0.96,0.97,
79,55 Cnc c,43.93000000,0.240000,,,,0.440000,,,,,0.95,
80,55 Cnc c,44.38000000,0.237000,,,,0.070000,,,5250.00,0.96,0.90,-0.197
81,55 Cnc c,44.37870000,0.238000,,,,0.053000,,,5250.00,0.96,0.90,-0.197
82,55 Cnc c,44.34460000,0.240000,,,,0.086000,,,5250.00,0.96,0.90,-0.197
83,55 Cnc c,44.41750000,0.241376,,54.47380,,0.020000,,,,,0.95,
84,55 Cnc d,4517.40000000,5.257000,,,,0.327000,,,,,0.95,
85,55 Cnc d,4867.00000000,5.446000,,1226.77000,,0.026900,,,5250.00,0.96,0.90,-0.197
86,55 Cnc d,4545.00000000,5.280000,,,,0.240000,,,,,,
87,55 Cnc d,5574.20000000,5.957000,,,,0.130000,,,5172.00,0.94,0.91,
88,55 Cnc d,5370.00000000,5.840000,,,,0.063000,,,5250.00,0.96,0.90,-0.197
89,55 Cnc d,5360.00000000,5.900000,,,,0.160000,,G8 V,,,0.95,
90,55 Cnc d,4820.00000000,5.540000,,,,0.139000,,,5317.89,0.96,0.97,
91,55 Cnc d,4909.00000000,5.470000,,,,0.020000,,,5250.00,0.96,0.90,-0.197
92,55 Cnc d,5218.00000000,5.770000,,,,0.025000,,,5250.00,0.96,0.90,-0.197
93,55 Cnc d,4825.00000000,5.503000,,1232.49300,,0.019000,,,,,0.95,
94,55 Cnc e,0.73653900,0.015440,1.910,8.08000,6.40000,,,,5250.00,0.96,0.90,-0.197
95,55 Cnc e,0.73654600,0.015830,2.173,8.37000,4.50000,0.000000,,,5250.00,0.96,0.90,-0.197
96,55 Cnc e,0.73654170,,,,,,,,,,,
97,55 Cnc e,0.73654450,0.015830,,,,0.036000,,,5317.89,0.96,0.97,
98,55 Cnc e,0.73655150,0.015691,,8.13928,,0.040000,,,,,0.95,
99,55 Cnc e,2.80800000,0.038000,,,,0.174000,,,,,0.95,
100,55 Cnc e,,0.015440,1.920,8.08000,6.30000,,,,5250.00,0.96,0.90,-0.197
101,55 Cnc e,0.73654780,0.015439,,8.09479,,0.028000,,,5250.00,0.96,0.90,-0.197
102,55 Cnc e,,,,,,,,,5250.00,0.96,0.90,-0.197
103,55 Cnc e,2.79674000,0.037700,,,,0.264000,,,5250.00,0.96,0.90,-0.197
104,55 Cnc e,0.73654000,0.015830,2.000,8.63000,5.90000,,,G8 V,,0.94,0.96,
105,55 Cnc e,0.73654370,0.015440,2.080,7.81000,4.78000,0.061000,1958,,5234.00,0.94,0.91,
106,55 Cnc e,0.73654740,0.015440,1.875,7.99000,6.66000,0.050000,,,5172.00,0.94,0.91,
107,55 Cnc e,0.73700000,,1.897,7.74000,6.25000,,,,5172.00,0.95,0.87,
108,55 Cnc f,261.20000000,0.770000,,,,0.320000,,,5250.00,0.96,0.90,-0.197
109,55 Cnc f,260.98000000,0.792000,,,,0.142000,,,5317.89,0.96,0.97,
110,55 Cnc f,260.00000000,0.781000,,,,0.200000,,,5250.00,0.96,0.90,-0.197
111,55 Cnc f,259.88000000,0.770800,,,,0.080000,,,5172.00,0.94,0.91,
112,55 Cnc f,260.70000000,0.775000,,,,0.000000,,,5250.00,0.96,0.90,-0.197
113,55 Cnc f,262.00000000,0.788000,,44.81200,,0.305000,,,,,0.95,
114,55 Cnc f,260.91000000,0.773300,,47.00510,,0.080000,,,5250.00,0.96,0.90,-0.197
115,6 Lyn b,899.00000000,2.200000,,,,0.134000,,K0 IV,4978.00,5.20,1.70,1.176
116,6 Lyn b,874.77400000,2.180000,,,,0.125000,,,,5.20,1.82,
117,6 Lyn b,934.30000000,2.110000,,,,0.073000,,,4938.00,5.20,1.44,
118,61 Vir b,4.21487000,0.049560,,,,0.099000,,,5585.57,1.03,0.91,
119,61 Vir b,4.21500000,0.050201,,,,0.120000,,G5 V,5577.00,0.96,0.94,-0.095
120,61 Vir c,38.09570000,0.215100,,,,0.068000,,,5585.57,1.03,0.91,
121,61 Vir c,38.02100000,0.217500,,,,0.140000,,G5 V,5577.00,0.96,0.94,-0.095
122,61 Vir d,123.01000000,0.476000,,,,0.350000,,G5 V,5577.00,0.96,0.94,-0.095
123,7 CMa b,763.00000000,1.900000,,,,0.140000,,K1 III,4792.00,2.30,1.52,1.053
124,7 CMa b,796.00000000,1.930000,,,,0.220000,,,4794.52,4.91,,
125,7 CMa b,735.10000000,1.758000,,,,0.060000,,,4826.00,4.87,1.34,1.063
126,7 CMa c,996.00000000,2.153000,,,,0.080000,,,4826.00,4.87,1.34,1.063
127,70 Vir b,116.68840000,0.480000,,,,0.400000,,,5531.00,1.84,1.14,
128,70 Vir b,116.69335000,0.476500,,,,0.398900,,,5481.86,1.92,1.06,
129,70 Vir b,116.69260000,0.481000,,,,0.399000,,,5439.00,1.94,1.09,0.451
130,70 Vir b,116.68900000,0.456000,,,,0.397000,,,,,,
131,70 Vir b,116.68840000,0.484000,,2380.45000,,0.400700,,,5545.00,,1.11,
132,70 Vir b,116.68800000,0.481000,,,,0.398800,,,5495.00,1.89,1.09,
133,75 Cet b,691.90000000,2.100000,,,,0.117000,,G3 III,4846.00,10.50,2.49,1.730
134,8 UMi b,93.40000000,0.490000,,,,0.060000,,K0,4847.40,9.90,1.80,
135,8 UMi b,93.40000000,0.490000,,,,0.060000,,,4847.00,10.30,1.44,
136,81 Cet b,,2.170000,,,,,,,,,1.60,
137,81 Cet b,952.70000000,2.500000,,,,0.206000,,G5 III,4785.00,11.00,2.40,1.778
138,91 Aqr b,181.40000000,0.700000,,,,0.027000,,K0 III,4665.00,11.00,1.40,
139,AB Pic b,,260.000000,,4290.50000,,,,K2 V,,,,
140,AU Mic b,8.46321000,0.066000,4.203,,4.40000,0.100000,,,3700.00,0.75,0.50,-1.046
141,AU Mic b,8.46300000,0.064500,4.070,17.00000,1.40000,0.000000,593,,3700.00,0.75,0.50,
142,AU Mic c,18.85901900,0.110100,3.240,13.60000,2.30000,0.000000,454,,3700.00,0.75,0.50,
143,BD+03 2562 b,481.90000000,1.300000,,,,0.200000,,,4095.00,32.35,1.14,2.700
144,BD+14 4559 b,268.94000000,0.777000,,,,0.290000,,K2 V,5008.00,0.95,0.86,-0.320
145,BD+14 4559 b,268.94000000,0.780000,,,,0.290000,,,4864.00,0.86,0.49,
146,BD+15 2375 b,153.22000000,0.576000,,,,0.001000,,,4649.00,8.95,1.08,1.570
147,BD+15 2940 b,137.48000000,0.539000,,,,0.260000,,K0,4796.00,14.70,1.10,2.010
148,BD+20 2457 b,379.63000000,1.450000,,,,0.150000,,K2 II,4137.00,49.00,2.80,3.170
149,BD+20 2457 b,379.63000000,1.050000,,,,0.150000,,,4259.00,71.02,10.83,
150,BD+20 2457 c,621.99000000,2.010000,,,,0.180000,,K2 II,4137.00,49.00,2.80,3.170
151,BD+20 274 b,578.20000000,1.300000,,,,0.210000,,K5 III,4296.00,17.30,0.80,1.960
152,BD+20 594 b,41.68550000,0.241000,2.230,16.30000,7.89000,0.000000,546,G,5766.00,0.93,0.96,-0.056
153,BD+20 594 b,41.68550000,,2.578,22.24810,,0.000000,,,5766.00,1.08,1.67,
154,BD+20 594 b,41.68864400,,2.355,,,,,,5703.00,0.96,0.96,
155,BD+45 564 b,307.88000000,0.830000,,,,0.120000,,K1,5004.00,,0.81,
156,BD+48 738 b,392.60000000,1.000000,,,,0.200000,,K0 III,4414.00,11.00,0.74,1.690
157,BD+48 740 b,733.00000000,1.700000,,,,0.760000,,,4534.00,10.33,1.09,1.640
158,BD+49 828 b,2590.00000000,4.200000,,,,0.350000,,K0,4943.00,7.60,1.52,1.470
159,BD+55 362 b,265.59000000,0.780000,,,,0.270000,,K3,5012.00,,0.91,
160,BD+63 1405 b,1198.48000000,2.060000,,,,0.880000,,K0,5000.00,,0.82,
161,BD-00 4475 b,723.20000000,1.480000,,,,0.390000,,G0,5040.00,,0.81,
162,BD-06 1339 b,3.87280000,0.042800,,,,0.000000,,K7/M0 V,4324.00,,0.70,-1.022
163,BD-06 1339 c,125.94000000,0.435000,,,,0.310000,,K7/M0 V,4324.00,,0.70,-1.022
164,BD-08 2823 b,5.60000000,0.056000,,,,0.150000,,K3 V,4746.00,,0.74,
165,BD-08 2823 b,5.60000000,0.060000,,,,0.150000,,,4816.00,0.71,0.50,
166,BD-08 2823 c,237.60000000,0.680000,,,,0.190000,,K3 V,4746.00,,0.74,
167,BD-10 3166 b,3.48777000,0.040000,,,,0.020000,,,5393.00,0.91,1.47,
168,BD-10 3166 b,3.48700000,0.046000,,,,0.050000,,K0 V,5400.00,,1.10,
169,BD-10 3166 b,3.48790500,0.045000,,,,0.022000,,,5382.64,0.97,1.00,
170,BD-10 3166 b,3.48777000,0.045200,,,,0.019000,,,5393.00,,1.01,
171,BD-11 4672 b,1634.00000000,2.360000,,,,0.050000,,,4550.00,0.64,0.65,-0.804
172,BD-11 4672 b,1667.00000000,2.280000,,,,0.050000,,K7 V,4475.00,0.52,0.57,
173,BD-11 4672 c,74.20000000,0.300000,,,,0.400000,,,4550.00,0.64,0.65,-0.804
174,BD-13 2130 b,714.30000000,2.100000,,,,0.210000,,,,,2.40,
175,BD-13 2130 b,714.29999000,1.660000,,,,0.210000,,,4545.00,19.17,2.12,
176,BD-17 63 b,655.60000000,1.340000,,,,0.540000,,K5 V,4714.00,0.69,0.74,-0.678
177,BD-17 63 b,655.59998000,1.340000,,,,0.540000,,,4665.00,0.74,0.31,
178,CD Cet b,2.29070000,0.018500,,,,,464,M5.0 V,3130.00,0.17,0.16,-2.533
179,CFBDSIR J145829+101343 b,10037.50000000,2.600000,,3337.10000,,,370,,580.50,,0.02,
180,CFHTWIR-Oph 98 b,8040000.00000000,200.000000,20.849,2479.06157,,,1800,M9-L1,2320.00,0.24,0.01,-2.850
181,CHXR 73 b,,210.000000,,3994.48600,,,,M3.5,,,0.35,
182,CI Tau b,8.98910000,,,3686.82800,,0.250000,,K7,,,0.90,-0.108
183,COCONUTS-2 b,402000000.00000000,7506.000000,12.442,2002.31896,,,434,M3 V,3406.00,0.39,0.37,-1.732
184,CT Cha b,,440.000000,24.660,5403.00000,,,2600,,,,,
185,CoRoT-1 b,1.50895570,0.026100,16.589,359.14790,,0.000000,,,5950.00,1.14,1.03,
186,CoRoT-1 b,1.50895570,,16.700,327.35000,0.38000,0.000000,1898,G0 V,5950.00,1.11,0.95,
187,CoRoT-1 b,1.50896860,0.025360,17.385,327.36490,0.34400,,1915,,5950.00,1.13,0.95,
188,CoRoT-1 b,1.50896820,0.027520,19.223,390.93090,0.30200,0.036000,,,6298.00,1.23,1.22,
189,CoRoT-1 b,1.50897655,0.025900,15.917,340.07810,0.44000,0.071000,1834,,5950.00,,,
190,CoRoT-10 b,13.24060000,0.105500,10.873,867.67590,3.69000,0.524000,,,5075.00,0.79,0.89,
191,CoRoT-10 b,13.24060000,0.105500,10.870,874.00000,3.70000,0.530000,600,K1 V,5075.00,0.79,0.89,
192,CoRoT-10 b,13.24060000,0.106000,10.548,883.56740,4.16000,,647,,5075.00,0.74,0.90,
193,CoRoT-11 b,,,,,,,,,6343.00,1.36,1.56,
194,CoRoT-11 b,2.99433000,0.044000,15.984,743.72220,1.00000,,1735,,6440.00,1.37,1.26,
195,CoRoT-11 b,2.99432500,0.044070,16.029,832.71460,1.11000,0.360000,,,6440.00,1.37,1.27,
196,CoRoT-11 b,2.99432500,0.043510,15.581,791.39670,0.93000,0.000000,1715,,,1.33,1.23,
197,CoRoT-11 b,2.99433000,0.043600,16.030,740.51000,0.99000,0.000000,1657,F6 V,6440.00,1.37,1.27,
198,CoRoT-12 b,2.82804200,0.040160,16.140,291.43800,0.41100,0.070000,1442,,5675.00,1.12,1.08,
199,CoRoT-12 b,2.82804200,0.040130,16.141,290.81445,0.38100,0.050000,,,5675.00,1.12,1.08,
200,CoRoT-12 b,2.82804200,0.039400,15.132,281.91521,0.44800,,1410,,5675.00,1.05,1.02,
201,CoRoT-12 b,2.82805268,0.039200,15.065,277.46559,0.44700,,1417,,,1.05,1.00,0.070
202,CoRoT-13 b,4.03519000,0.051070,9.920,423.03173,2.38000,0.067000,,,5945.00,1.01,1.09,
203,CoRoT-13 b,4.03519000,0.051000,9.920,415.70400,2.34000,0.000000,1700,G0 V,5945.00,1.01,1.09,
204,CoRoT-13 b,4.03519000,0.051000,14.034,416.99296,0.82000,,1432,,5945.00,1.27,1.09,
205,CoRoT-14 b,1.51214000,0.027000,12.220,2415.40000,7.30000,0.000000,1952,F9 V,6035.00,1.21,1.13,
206,CoRoT-14 b,1.51214000,0.026870,11.411,2437.75610,9.00000,,1936,,6035.00,1.19,1.12,
207,CoRoT-14 b,1.51214000,0.026910,12.218,2358.29860,7.10000,0.036000,,,6040.00,1.21,1.13,
208,CoRoT-16 b,5.35227000,0.061800,13.115,168.13207,0.41000,0.370000,,,5650.00,1.19,1.10,
209,CoRoT-16 b,5.35227000,0.061800,13.110,170.03200,0.44000,0.330000,,G5 V,5650.00,1.19,1.10,
210,CoRoT-17 b,3.76810000,0.048100,11.287,781.86180,3.00580,,1610,,5740.00,1.62,1.04,
211,CoRoT-17 b,3.76810000,0.048100,11.433,765.97030,2.81000,0.081000,,,5740.00,1.59,1.04,
212,CoRoT-17 b,3.76810000,0.046100,11.430,772.29000,2.82000,0.000000,1626,G2 V,5740.00,1.59,1.04,
213,CoRoT-18 b,1.90009000,0.028800,12.846,1048.83900,2.73000,,1487,,,0.88,0.88,-0.170
214,CoRoT-18 b,1.90006930,0.029500,14.684,1099.69180,1.91000,0.025000,,,5440.00,1.00,0.95,
215,CoRoT-18 b,1.90006930,0.028600,14.022,1039.30410,2.07000,,1490,,5440.00,0.92,0.86,
216,CoRoT-18 b,1.90006930,0.029500,14.680,1102.82000,2.20000,0.080000,1550,G9 V,5440.00,1.00,0.95,
217,CoRoT-19 b,3.89713000,0.051660,14.460,367.09365,0.66800,0.056000,,,6090.00,1.65,1.21,
218,CoRoT-19 b,3.89713000,0.051800,14.460,352.78000,0.71000,0.047000,2000,F9 V,6090.00,1.65,1.21,0.544
219,CoRoT-19 b,3.89713000,0.051200,13.339,346.43470,0.79800,,1630,,6090.00,1.58,1.18,
220,CoRoT-2 b,1.74299609,,16.533,,,,,,5575.00,,,
221,CoRoT-2 b,1.74299750,,15.850,1052.01730,1.55300,0.000000,1535,,5625.00,0.90,0.97,
222,CoRoT-2 b,1.74299673,,,,,,,,5529.00,0.94,0.97,-0.131
223,CoRoT-2 b,1.74299350,0.028540,16.477,1150.54460,1.41800,,1548,,5696.00,0.91,1.02,
224,CoRoT-2 b,1.74299673,0.028100,16.432,1048.83900,1.30000,0.024000,,,5625.00,0.90,0.97,
225,CoRoT-2 b,1.74299350,0.028350,16.365,1134.65310,1.42700,,1521,,5598.00,0.90,1.00,
226,CoRoT-2 b,1.74299640,0.028100,16.421,1051.97300,,0.000000,,,,,,
227,CoRoT-2 b,1.74299350,0.027980,16.432,1102.82000,1.47000,0.014300,,,5625.00,0.91,0.96,
228,CoRoT-20 b,9.24318000,0.089100,11.209,1315.81620,5.20000,,1024,,,1.16,1.10,0.170
229,CoRoT-20 b,9.24285000,0.090200,9.420,1347.54000,8.87000,0.562000,1002,G2 V,5880.00,1.02,1.14,
230,CoRoT-20 b,9.24285000,0.090000,,1366.66900,,0.590000,,,,,1.14,
231,CoRoT-20 b,9.24285000,0.089200,13.002,1608.21980,4.00000,,1100,,5880.00,1.34,1.11,
232,CoRoT-20 b,9.24285000,0.090100,9.416,1344.42090,8.90000,0.575000,,,5880.00,1.02,1.14,
233,CoRoT-20 c,1675.00000000,2.900000,,,,0.600000,,,,,1.14,
234,CoRoT-21 b,2.72474000,0.041700,14.572,718.29580,1.36000,0.000000,,F8 IV,6200.00,1.95,1.29,
235,CoRoT-21 b,2.72474000,0.041600,14.572,705.58260,1.24000,0.390000,,,6200.00,1.95,1.29,
236,CoRoT-22 b,9.75598000,0.092000,4.880,12.20000,0.24900,0.077000,885,G3 V,5939.00,1.14,1.10,
237,CoRoT-23 b,3.63130000,0.048090,13.227,972.55980,2.32750,,1710,,5900.00,1.74,1.12,
238,CoRoT-23 b,3.63130000,0.048400,11.769,982.09470,3.30000,0.160000,,,5900.00,1.61,1.14,
239,CoRoT-23 b,3.63130000,0.048000,11.770,889.90000,3.00000,0.160000,1660,G0 V,5900.00,1.61,1.14,
240,CoRoT-24 b,5.11340000,0.056000,3.700,5.70000,0.90000,0.000000,1070,K1 V,4950.00,0.86,0.91,
241,CoRoT-24 c,11.75900000,0.098000,5.000,28.00000,1.30000,0.000000,850,K1 V,4950.00,0.86,0.91,
242,CoRoT-25 b,4.86069000,0.057890,12.106,93.12419,0.24000,0.220000,,,6040.00,1.19,1.09,
243,CoRoT-25 b,4.86069000,0.057800,12.110,85.81000,0.15000,0.000000,1330,F9,6040.00,1.19,1.09,
244,CoRoT-26 b,4.20474000,0.052500,14.123,184.34140,0.36000,0.410000,,,5590.00,1.79,1.09,
245,CoRoT-26 b,4.20474000,0.052600,14.120,165.26000,0.28000,0.000000,1600,G5,5590.00,1.79,1.09,
246,CoRoT-27 b,3.57532000,0.047600,11.287,3302.11000,12.60000,0.065000,1500,G2,5900.00,1.08,1.05,
247,CoRoT-27 b,3.57532000,0.046700,11.287,3273.64900,12.50000,0.034000,,,5900.00,1.08,1.05,
248,CoRoT-28 b,5.20851000,0.059000,10.705,152.87623,0.68000,0.071000,,,5150.00,1.78,1.01,
249,CoRoT-28 b,5.20851000,0.060300,10.705,153.82972,0.69000,0.047000,,G8/9 IV,5150.00,1.78,1.01,
250,CoRoT-29 b,2.85056150,,,,,,,,5268.00,1.08,0.90,-0.094
251,CoRoT-29 b,2.85057000,0.038600,10.088,270.15550,1.45000,0.082000,,K0 V,5260.00,0.90,0.97,
252,CoRoT-29 b,2.85057000,0.039000,10.088,266.97720,1.44000,0.120000,,,5260.00,0.90,0.97,
253,CoRoT-3 b,4.25679940,0.057830,11.624,6979.54680,24.50000,,1695,,6740.00,1.57,1.40,
254,CoRoT-3 b,4.25680000,,11.320,6883.91000,26.40000,0.000000,,F3 V,6740.00,1.56,1.37,
255,CoRoT-3 b,4.25679940,0.056940,11.135,6747.53090,,0.008000,,,,1.54,1.36,
256,CoRoT-3 b,4.25679940,0.057400,11.321,6814.27520,25.90000,0.016000,,,6740.00,1.56,1.37,
257,CoRoT-3 b,,,,,,,,,6558.00,1.44,1.41,
258,CoRoT-30 b,9.06005000,0.084400,11.310,921.70700,3.45000,0.007000,,G3 V,5650.00,0.91,0.98,
259,CoRoT-31 b,4.62941000,0.058600,16.365,266.97720,0.33000,0.020000,,G2 IV,5700.00,2.15,1.25,
260,CoRoT-4 b,9.20205000,0.090000,13.340,228.83000,0.52500,0.000000,1074,,6190.00,1.17,1.16,
